subject,predicate,object
城市发展,取得,显著成效
城市发展,通过,科学规划
城市发展,通过,精细管理
城市发展,通过,持续创新
城市面貌,焕然一新,
居民生活质量,显著提升,
城市基础设施建设,包括,交通设施完善
交通设施,加大,投资力度
交通设施,完成,主干道拓宽
交通设施,完成,主干道改造
交通设施,缓解,交通问题
交通设施,提高,城市交通
改造工程,缓解,交通问题
公众,建设,交通设施
公众,增加,公交车数量
公众,增加,公交线路
公众,引入,新能源
新能源,减少,碳排放
公众,启动,地铁线路
地铁线路,方便,市民出行
公众,新建,交通设施
交通设施,提供,交通问题
公众,注重,慢行交通系统建设
交通设施,提供,城市交通
公众,进行,城市基础设施
公众,进行,城市供水系统检查
公众,更换,老旧管道
公众,提高,供水水质
公众,提高,供水稳定性
公众,建设,城市基础设施
城市基础设施,应对,新能源
城市基础设施,进行,大规模改造和升级
城市基础设施,提高,供电能力
城市基础设施,提高,可靠性
智能技术,推广,电力资源优化配置
智能技术,推广,高效利用
环保措施,建设,提高污水处理能力
环保措施,建设,提高出水水质标准
城市基础设施,加强,建设和维护
环保措施,推进,垃圾处理
公众,加强,城市基础设施
公众,建设,垃圾分类收集站
公众,建设,垃圾焚烧发电厂
环保措施,推进,资源化利用
科学分类,解决,城市垃圾问题
高效处理,解决,城市垃圾问题
公众,结合,城市发展
公众,结合,未来趋势
公众,修编,专项规划
公众,完善,专项规划
专项规划,注重,环保措施
专项规划,注重,人文关怀
专项规划,注重,城市发展
公众,编制,专项规划
专项规划,包括,交通规划
专项规划,包括,绿地系统规划
专项规划,包括,历史文化名城保护规划
专项规划,支撑,城市建设
公众,引入,数字化管理
数字化管理,实现,智能技术
数字化管理,用于,发现问题
数字化管理,用于,处理问题
数字化管理,提高,管理效率
数字化管理,提高,管理质量
城市,划分为,数字化管理
数字化管理,由,管理人员负责
数字化管理,实现,全面覆盖
数字化管理,实现,精细化管理
公众,参与,城市规划
公众,参与,城市管理
问卷调查,用于,公众参与
公众,注重,公众参与
公众参与,涉及,城市规划
公众参与,涉及,城市管理
公众,听取,公众参与
公众参与,提供,参考
公众参与,提供,改进方向
公众,进行,历史建筑普查
公众,登记,历史建筑
公众,制定,保护措施
修缮,保护,历史建筑
历史建筑,得到,传统文化
历史建筑,得到,利用
公众,挖掘,文化遗产
历史建筑,得到,保护措施
历史建筑,得到,修缮
公众,挖掘,城市文化软实力
公众,举办,展览
公众,举办,演出
公众,展示,城市环境
公众,加强,历史建筑
公众,加大,学校建设投入
公众,新建,学校
公众,改扩建,学校
学校,缓解,上学难问题
政府,投入,教育设施
政府,新建,学校
政府,改扩建,学校
政府,注重,教育资源配置
政府,优化,学校布局
政府,提高,教师待遇
政府,促进,教育公平
政府,加强,职业教育
政府,加强,继续教育
政府,提高,市民综合素质
政府,提高,就业能力
政府,建设,医疗服务
政府,提高,医疗服务
政府,提高,医疗覆盖面
公众,建设,医疗服务
公众,提高,医疗服务
公众,加强,基层医疗卫生机构建设
公众,提供,便捷医疗服务
公众,提供,高效医疗服务
公众,加强,公共卫生体系建设
公众,完善,疾病预防控制机制
公众,完善,应急救治机制
公众,加强,健康教育
公众,推广,健康生活方式
公众,提高,市民健康意识
公众,提高,市民自我保健能力
环保措施,提高,市民的健康意识
环保措施,提高,市民的自我保健能力
公众,建设,多个图书馆
公众,建设,多个博物馆
公众,建设,多个文化馆
文化设施,提供,丰富的精神文化生活
公众,提高,城市环境
公众,注重,体育设施建设
公众,新建,体育设施
公众,改扩建,体育设施
公众,新建,健身设施
公众,改扩建,健身设施
体育设施,提供,便捷的体育锻炼场所
体育设施,提供,多样的体育锻炼场所
政府,改扩建,体育设施
政府,改扩建,健身设施
健身设施,提供,体育设施
体育设施,服务,公众
政府,新建,休闲娱乐
政府,改扩建,休闲娱乐
政府,新建,城市环境
政府,改扩建,城市环境
城市环境,提供,休闲娱乐
休闲娱乐,服务,公众
休闲娱乐,改善,城市环境
政府,种植,行道树
政府,建设,绿化带
道路绿化工作,提高,城市道路绿化覆盖率
城市环境,美化,城市景观
城市环境,净化,空气
城市环境,降低,噪音
工业污染,加强,监管力度
工业污染,督促,企业安装污染治理设施
执法检查,减少,工业污染
行政处罚,减少,工业污染
公众,推广,新能源汽车
公众,推广,清洁能源汽车
公众,加强,工业污染
公众,加强,机动车尾气检测
限制高排放车辆,降低,工业污染
工业污染,影响,空气质量
公众,整治,河道管理
公众,修复,河道管理
公众,清理,河道管理
公众,建设,河道管理
城市管理,改善,河道水质
城市管理,改善,生态环境
城市管理,提高,防洪排涝能力
公众,注重,水资源管理
公众,建设,雨水花园
公众,建设,透水铺装
城市管理,提高,雨水资源利用
城市管理,减少,雨水径流压力
城市管理,促进,水资源管理
城市雨水径流,减少,排水系统压力
城市雨水径流,促进,水资源管理
营商环境,吸引,企业落户
营商环境,吸引,项目落户
营商环境,简化,审批流程
营商环境,提高,服务效率
城市,加强,国内外企业合作
城市,推动,经济快速发展
产业园区,提供,产业发展平台
公众,建设,产业园区
公众,建设,开发区
产业园区,提供,平台
产业园区,提供,空间
公众,加强,基础设施建设
公众,完善,配套服务
公众,提高,产业园区
公众,提高,产业园区吸引力
公众,鼓励,传统文化
公众,支持,传统文化
传统文化,进行,技术改造
传统文化,进行,升级换代
公众,引进,新技术
公众,引进,新工艺
公众,提高,生产效率
公众,提高,产品质量
公众,加强,品牌建设
公众,加强,市场开拓
公众,提高,市场竞争力
公众,提高,传统产业的生产效率
公众,加强,市场开拓工作
公众,提高,传统产业的产品质量
公众,注重,产业链的协同发展
公众,加强,上下游企业之间的合作
公众,促进,产业链的协同发展
城市管理,提高,产业附加值
城市管理,提高,经济效益
城市管理,增强,城市经济转型升级
公众,注重,科技创新工作
公众,加大,科技研发
公众,加大,成果转化
公众,加大,营商环境
营商环境,针对,科技研发
营商环境,针对,成果转化
公众,建设,科技企业孵化器
公众,建设,加速器
科技企业孵化器,促进,新兴产业
加速器,促进,新兴产业
新兴产业,属于,科技成果
公众,加强,合作
公众,加强,交流
合作,与,高校
合作,与,科研院所
交流,与,高校
交流,与,科研院所
公众,推动,产学研融合
公众,结合,城市实际
城市发展,进行,科学布局和规划
城市发展,涉及,新兴产业
新兴产业,具有,核心竞争力
新兴产业,推动,城市经济转型升级
新兴产业,推动,高质量发展
新能源,改善,居民生活质量
全面覆盖,提升,城市面貌
城市管理,促进,居民生活质量
新能源,促进,高效处理
城市管理,需要,科学分类
职业教育,培养,高效处理
城市管理,促进,丰富的精神文化生活
职业教育,培养,文化设施
继续教育,提升,丰富的精神文化生活
城市管理,包含,道路绿化工作
全面覆盖,促进,城市道路绿化覆盖率
新能源,支持,道路绿化工作
城市面貌,受益于,高效处理
居民生活质量,依赖于,科学分类
城市面貌,改善通过,城市垃圾问题
城市面貌,促进,丰富的精神文化生活
居民生活质量,包含,丰富的精神文化生活
文化设施,改善,城市面貌
城市面貌,受益于,道路绿化工作
居民生活质量,依赖于,城市道路绿化覆盖率
城市面貌,反映,城市道路绿化覆盖率
高效处理,促进,丰富的精神文化生活
科学分类,释放资源用于,文化设施
城市垃圾问题,影响,丰富的精神文化生活
高效处理,促进,道路绿化工作
科学分类,支持,城市道路绿化覆盖率
城市垃圾问题,影响,道路绿化工作
文化设施,促进,道路绿化工作
丰富的精神文化生活,提升,城市道路绿化覆盖率
文化设施,配套,道路绿化工作
新能源,推动,新能源汽车
城市管理,优化,城市
城市交通,属于,城市
生产效率,提升,传统产业的生产效率
城市供水系统检查,保障,城市
国内外企业合作,促进,合作
城市经济转型升级,推动,城市
高效利用,包含,利用
合作,包含,上下游企业之间的合作
城市发展,涉及 via 新兴产业,高质量发展
城市发展,涉及 via 新兴产业,核心竞争力
城市发展,涉及 via 新兴产业,科技成果
城市发展,涉及 via 新兴产业,城市经济转型升级
公众,引入 via 新能源,碳排放
公众,参与 via 城市管理,生态环境
