subject,predicate,object
hong kong,采用,nec4
hong kong,做出,修正
development bureau,属于,hksar government
development bureau,发布,documents
documents,发布于,july 2023
development bureau,位于,hong kong
development bureau,致力于,local practices
development bureau,与,industry
development bureau,培育,collaboration
part one,提供数据,client
part two,提供数据,contract
construction contract,位于,hong kong
construction contract,属于,ub contracts
n,包括,使用简明语言
n,包括,主动管理风险和不确定性
香港版,更适应,本地立法要求
香港版,更适应,采购
nec,首次发布,1993年
nec,是,创新方式
创新方式,用于,管理建筑合同
nec,合作,香港发展局
nec,起草,ecc
香港发展局,参与,ecc
ecc,基于,nec4
nec,引入,措施
措施,满足,特定要求
特定要求,属于,政府
peter higgins,担任,contract
peter higgins,拥有,bsc (hons)
peter higgins,是,ceng
peter higgins,是,fice
peter higgins,工作于,公共部门
peter higgins,工作于,私营部门
peter higgins,设立,最佳实践采购基准
最佳实践采购基准,适用于,香港
dr martin barnes,设计,nec
dr martin barnes,起草,nec
dr martin barnes,属于,coopers and lybrand
j. g. perry,协助,dr martin barnes
j. g. perry,属于,伯明翰大学
t. w. weddell,属于,travers morgan management
nicholson,担任,顾问
nicholson,服务于,土木工程学会
nicholson,担任,土木工程学会
a. norman,隶属于,曼彻斯特大学科学技术学院
p. a. baird,担任,企业合同顾问
s. jackson,拥有,llb
s. jackson,拥有,llm
s. jackson,拥有,msc
s. jackson,是,fci arb
s. jackson,是,fcinst ces
m. garratt,拥有,ba (hons)
m. garratt,是,mrics
m. garratt,是,fci arb
d. evans,拥有,bsc
d. evans,是,fice
d. evans,是,ceng
d. evans,拥有,mba
e. j houghton,拥有,ba (hons)
e. j houghton,是,mrics
e. j houghton,是,fice
tony ho,是,hong kong
tony ho,担任,chair
tony ho,拥有,beng学位
tony ho,拥有,msc学位
tony ho,拥有,dic学位
tony ho,拥有,llm学位
tony ho,是,ceng
tony ho,是,fice
tony ho,是,fhkie
tony ho,是,fie aust
angie ip,是,hong kong
angie ip,拥有,llb学位
angie ip,是,solicitor
angie ip,是,律师
angie ip,拥有,法学学士学位
angie ip,执业于,香港
angie ip,执业于,英格兰和威尔士
francis leung,拥有,理学硕士学位
francis leung,是,fhkie
francis leung,是,mrics
joyce li,拥有,工程学士学位
joyce li,拥有,法学学士学位
joyce li,拥有,法学硕士学位
joyce li,是,mhkie成员
hong kong,包括,angie ip
hong kong,包括,francis leung
hong kong,包括,joyce li
francis leung,拥有,msc学位
francis leung,是,fhkis会员
francis leung,是,mrics会员
joyce li,拥有,beng学位
joyce li,拥有,llb学位
joyce li,拥有,llm学位
shirley chan,拥有,llb学位
shirley chan,拥有,pcll学位
shirley chan,是,香港律师
arthur tang,拥有,llb学位
arthur tang,拥有,pcll学位
arthur tang,是,香港律师
arthur tang,是,律师
arthur tang,位于,香港
amy lu,是,工程师
amy lu,位于,香港
regis chee,是,工程师
regis chee,位于,香港
nec,拥有,neccontract.com
neccontract.com,属于,nec
option x15,涉及,contract
option x15,涉及,payment
option x5,涉及,contract
option x5,涉及,design
option x17,涉及,retention
option x22,涉及,performance damages
option x12 使用,涉及,performance
option x14,限制,liability
option x21,称为,performance indicator
option x21,不与,option x16
option x18,称为,cost
option x30,称为,early
option x18,是,cost
option x30,涉及,contractor
option x30,用于,option x17 low
option x20,关于,change
option x29,关于,innovation and technology
option z,是,additi
party,包括,manager
party,包括,supervisor
manager,属于,party
supervisor,属于,party
data,被接受,manager
programme,被接受,manager
programme,取代,previous accepted programmes
contract,完成,工作
contract,为,client
contract,做,必要工作
client,使用,工作
信息,描述,工作
信息,说明,合同约束
ontract,requires,communication
communication,is in,form
form,can be,read
form,can be,copied
form,can be,recorded
writing,is in,language
language,of,contract
scope,specifies,use
use,of,communication
manager,may extend,period for reply
manager,agrees with,contract
manager,informs,extent
项目经理,通知,承包商
项目经理,签发证书,客户
项目经理,签发证书,承包商
notification,required by,contract
notification,communicated separately,other communications
项目经理,可以拒绝,承包商的提交
项目经理,拒绝原因,合同中规定的原因
acceptance,不是,compensation
manager,与,supervisor
项目经理,接受,承包商通信
项目经理,接受,工作
主管,接受,承包商通信
主管,接受,工作
承包商,负责,工作
supervisor,通知,contract
supervisor,可以委托,actions
supervisor,可以取消,delegation
notification,包含,delegation
notification,包含,details of action
client,may replace,project manager
client,may replace,supervisor
client,notifies,contractor
client,provides,name of replacement
manager,may give,early
contract,may give,early
manager,notify,contract
contract,notify,manager
early warning,包含,matter
matter,可避免,风险
matter,可减少,风险
solutions,寻求,优势
solutions,影响,受影响者
client,pays,contract
client,changes scope,works
manager,consults with,client
项目经理,咨询,客户
项目经理,咨询,承包商
承包商,提出,提案
项目经理,接受,提案
manager,inform,contract
manager,give reason,proposal
contract,submit,proposal
contract,prevent,corrupt act
contract,stop,corrupt act
corrupt act,involves,subcontracted work
corrupt act,involves,supplier
contract,includes,equivalent provisions
equivalent provisions,applied to,subcontracts
项目经理,讨论,承包商
项目经理,给予,指令
项目经理,指示,承包商
指令,说明,处理方式
承包商,设计,工程部件
承包商,提交,设计细节
范围,规定,承包商设计内容
范围,要求,设计细节提交
tractor,提供,关键人员
tractor,提供,替代人员
替代人员,被接受,项目经理
关键人员,执行,合同数据中的工作
承包商,提供,服务
承包商,提供,其他事物
